,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
126,Tilichiki,49,RU,1562904114,66,60.47,166.1,62.0,8.72
127,Lebu,97,ET,1562904115,86,8.96,38.73,55.28,1.5
128,Balkanabat,95,TM,1562904116,34,39.51,54.36,90.2,6.35
129,Namatanai,100,PG,1562904118,69,-3.66,152.44,79.33,25.01
130,Vila Franca do Campo,20,PT,1562904119,88,37.72,-25.43,68.0,5.82
131,Gimli,11,CA,1562904120,79,50.63,-96.99,69.01,13.76
132,Khandbari,100,NP,1562904121,95,27.38,87.21,57.42,2.08
133,Zhigansk,34,RU,1562904122,31,66.77,123.37,84.91,12.66
134,Zhanakorgan,0,KZ,1562904124,14,43.91,67.25,90.9,19.91
135,Minot,1,US,1562904029,57,48.23,-101.3,77.0,12.75
136,Mitsamiouli,20,KM,1562904126,78,-11.38,43.28,71.6,5.82
137,Faya,40,SA,1562904127,56,18.39,42.45,71.6,3.85
138,Avarua,75,CK,1562904129,83,-21.21,-159.78,73.4,4.7
139,Jalu,0,LY,1562904130,35,29.03,21.55,79.71,4.52
140,Chokurdakh,28,RU,1562904131,54,70.62,147.9,62.34,8.72
141,Iqaluit,90,CA,1562904132,93,63.75,-68.52,41.0,8.05
142,Beringovskiy,0,RU,1562904133,51,63.05,179.32,69.02,5.66
143,Sterling,75,US,1562904090,94,39.0,-77.4,72.0,5.97
144,Provideniya,20,RU,1562904136,87,64.42,-173.23,55.4,13.42
145,Igarka,100,RU,1562904137,90,67.47,86.57,58.93,17.81
146,Colac,100,AU,1562904138,90,-38.34,143.59,54.0,7.0
147,Moree,0,AU,1562904140,39,-29.46,149.84,66.2,11.41
148,Bethel,90,US,1562904141,88,60.79,-161.76,69.8,13.87
149,Zhezkazgan,0,KZ,1562904142,20,47.8,67.71,82.4,8.95
150,Buchanan,75,LR,1562904143,94,5.88,-10.05,73.4,12.06
151,Sao Joao da Barra,0,BR,1562904126,89,-21.64,-41.05,59.31,1.83
152,Salalah,90,OM,1562904146,100,17.01,54.1,78.8,4.7
153,Kavieng,93,PG,1562904147,77,-2.57,150.8,81.9,18.9
154,Kirakira,74,SB,1562904148,74,-10.46,161.92,83.92,12.44
155,Nikolskoye,75,RU,1562904149,81,59.7,30.79,48.99,6.71
156,Hami,100,CN,1562904151,26,42.84,93.51,79.85,9.62
157,Mahajanga,20,MG,1562904152,64,-15.72,46.32,73.4,9.17
158,Arua,100,UG,1562904153,99,3.02,30.91,62.25,2.75
159,Castelo do Piaui,21,BR,1562904154,82,-5.32,-41.55,72.02,5.7
160,Bilciuresti,0,RO,1562904156,100,44.73,25.8,60.01,6.93
161,Karasuk,59,RU,1562904157,53,53.73,78.03,69.99,9.35
162,Kabinda,100,CD,1562904158,39,-6.14,24.49,73.57,2.53
163,Majene,0,ID,1562904159,79,-3.54,118.97,79.96,24.45
164,Port Dickson,75,MY,1562904160,66,2.52,101.79,87.8,5.82
165,Watsa,100,CD,1562904162,99,3.04,29.53,64.46,2.68
166,Chapais,90,CA,1562904163,93,49.78,-74.86,64.4,8.05
167,Ponta do Sol,0,BR,1562904164,59,-20.63,-46.0,54.33,2.8
168,Takaka,100,NZ,1562904165,89,-40.86,172.81,54.0,8.01
169,Nurota,0,UZ,1562904166,21,40.56,65.69,93.2,4.7
170,Killybegs,100,IE,1562904168,95,54.63,-8.45,54.0,1.99
171,Raudeberg,20,NO,1562904169,93,61.99,5.14,54.0,2.24
172,Shimoda,75,JP,1562904170,100,34.7,138.93,80.6,12.75
173,Roald,20,NO,1562904171,87,62.58,6.12,52.0,16.11
174,Komsomolskiy,100,RU,1562904173,92,67.55,63.78,54.87,16.08
175,Chuy,100,UY,1562904174,89,-33.69,-53.46,56.52,8.1
176,Quatre Cocos,20,MU,1562904175,82,-20.21,57.76,69.01,8.05
177,Aykhal,90,RU,1562904176,87,65.95,111.51,60.8,4.47
178,Lorengau,78,PG,1562904178,74,-2.02,147.27,81.76,15.1
179,Saint-Joseph,90,FR,1562904179,88,43.56,6.97,78.8,3.36
180,Esperance,90,AU,1562904180,76,-33.86,121.89,57.2,16.11
181,Nemuro,75,JP,1562904181,68,43.32,145.57,68.0,16.11
182,Homer,1,US,1562904182,63,59.64,-151.54,68.0,9.17
183,Bahir Dar,91,ET,1562904184,93,11.59,37.39,56.81,1.74
184,Leningradskiy,67,RU,1562904185,64,69.38,178.42,53.86,10.07
185,Kot Diji,0,PK,1562904186,52,27.34,68.71,91.05,16.4
186,Darab,27,IR,1562904187,20,28.75,54.55,79.87,1.92
187,Olenino,100,RU,1562904188,83,56.21,33.48,46.26,3.51
188,Biloela,0,AU,1562904190,27,-24.4,150.51,72.74,6.55
189,Moindou,0,NC,1562904191,53,-21.69,165.68,75.2,16.11
190,Camocim,0,BR,1562904192,96,-2.9,-40.84,70.78,4.56
191,Levokumskoye,27,RU,1562904193,79,44.82,44.66,66.87,13.13
192,Ilulissat,0,GL,1562904195,81,69.22,-51.1,44.6,1.12
193,Caravelas,94,BR,1562904196,70,-17.73,-39.27,72.63,6.11
194,Sibu,75,MY,1562904197,78,2.29,111.83,80.6,5.82
195,Lasa,75,CY,1562904198,83,34.92,32.53,78.8,9.17
196,Seymchan,0,RU,1562904199,28,62.93,152.39,83.15,6.82
197,Paamiut,6,GL,1562904201,91,61.99,-49.67,42.57,8.99
198,Riyadh,0,SA,1562904202,10,24.63,46.72,80.6,5.82
199,Ulladulla,0,AU,1562904203,45,-35.36,150.48,62.6,18.34
200,Qaanaaq,49,GL,1562904204,51,77.48,-69.36,45.85,9.08
201,Thompson,75,CA,1562904093,87,55.74,-97.86,57.2,3.36
202,Rongcheng,0,CN,1562904207,70,37.16,122.42,76.47,6.67
203,Souillac,0,FR,1562904208,88,45.6,-0.6,66.99,7.29
204,Zaraza,0,VE,1562904209,96,9.35,-65.33,71.57,5.28
205,Vestmannaeyjar,100,IS,1562904210,90,63.44,-20.27,52.58,8.63
206,Tigil,12,RU,1562904212,61,57.8,158.67,69.84,11.5
207,Khatanga,83,RU,1562904213,48,71.98,102.47,55.78,11.92
208,Bahia de Caraquez,0,EC,1562904214,88,-0.6,-80.42,71.6,13.87
209,Angoche,72,MZ,1562904215,80,-16.23,39.91,66.17,4.14
210,Kharp,100,RU,1562904216,86,66.82,65.8,55.35,6.96
211,Butaritari,55,KI,1562904218,75,3.07,172.79,85.02,10.38
212,Barrow,88,AR,1562904219,83,-38.31,-60.23,47.97,1.32
213,Seoul,75,KR,1562904001,57,37.57,126.98,80.6,4.7
214,Aksum,99,ET,1562904221,91,14.12,38.72,60.23,1.79
215,Bambous Virieux,20,MU,1562904223,82,-20.34,57.76,69.01,8.05
216,Vardo,40,US,1562904224,94,39.62,-77.74,71.6,4.7
217,Ketchikan,90,US,1562904225,87,55.34,-131.65,60.8,13.87
218,Buritis,0,BR,1562904226,63,-15.62,-46.42,59.91,2.04
219,Luganville,75,VU,1562904228,83,-15.51,167.18,80.6,9.17
220,Sihlea,75,RO,1562904229,93,45.5,27.13,57.2,4.7
221,Awbari,0,LY,1562904230,14,26.59,12.77,85.09,7.23
222,Talara,0,PE,1562904100,88,-4.58,-81.27,65.42,18.32
223,Kaitangata,100,NZ,1562904233,78,-46.28,169.85,48.99,1.99
224,Svetlaya,65,RU,1562904234,55,46.54,138.33,72.88,8.61
225,Mali,99,CN,1562904235,91,27.53,102.2,67.23,1.99
226,Isiro,100,CD,1562904237,99,2.77,27.62,65.09,1.83
227,Vestmanna,44,FO,1562904238,100,62.16,-7.17,50.0,9.17
228,Guerrero Negro,0,MX,1562904239,81,27.97,-114.04,67.92,21.9
229,San Patricio,0,PY,1562904240,72,-26.98,-56.83,67.41,9.13
230,Tuatapere,100,NZ,1562904242,89,-46.13,167.69,48.99,12.46
231,Ulaanbaatar,20,MN,1562903966,32,47.92,106.92,80.6,2.24
232,Shahrud,48,IR,1562904244,32,36.42,54.97,67.07,6.2
233,Weinan,0,CN,1562904245,51,34.5,109.46,84.2,6.71
234,Abha,40,SA,1562904246,56,18.22,42.5,71.6,8.68
235,Lulea,0,SE,1562904248,76,65.58,22.15,53.6,4.7
236,Broome,75,GB,1562904249,93,52.47,1.45,63.0,5.82
237,Zaria,75,NG,1562904250,95,11.11,7.72,67.88,7.2
238,Tuktoyaktuk,90,CA,1562904251,86,69.44,-133.03,37.4,11.41
239,Nichinan,75,JP,1562904253,52,31.65,131.31,87.8,14.99
240,Talcahuano,75,CL,1562904097,93,-36.72,-73.12,50.0,4.7
241,Alofi,40,NU,1562904255,88,-19.06,-169.92,77.0,11.41
242,Zunyi,100,CN,1562904256,98,27.73,106.92,67.02,3.36
243,Saskylakh,67,RU,1562904257,46,71.97,114.09,58.67,15.08
244,Aksarka,96,RU,1562904259,73,66.56,67.8,61.89,17.47
245,Qaqortoq,0,GL,1562904260,75,60.72,-46.03,46.4,3.36
246,Cibitoke,81,BI,1562904261,61,-2.89,29.12,60.14,4.16
247,Mopipi,0,BW,1562904262,38,-21.2,24.86,50.93,7.05
248,Okhotsk,54,RU,1562904263,61,59.36,143.24,70.2,10.65
249,Itambe,0,BR,1562904265,98,-15.24,-40.62,55.55,4.05
250,Lysva,100,RU,1562904266,95,58.11,57.8,56.96,5.59
251,Stromness,20,CA,1562904267,77,42.87,-79.55,71.6,9.17
252,Yulara,100,AU,1562904068,19,-25.24,130.99,69.8,6.93
253,Necochea,100,AR,1562904270,93,-38.55,-58.74,46.99,1.01
254,Husavik,20,CA,1562904271,79,50.56,-96.99,69.01,10.98
255,Rong Kwang,20,TH,1562904272,59,18.34,100.32,89.6,8.05
256,Gostyn,0,PL,1562904273,87,51.88,17.01,57.99,3.36
257,Vao,43,EE,1562904275,78,59.1,26.19,48.03,5.68
258,Haines Junction,54,CA,1562904276,52,60.75,-137.51,61.42,10.74
259,Kahului,40,US,1562904277,58,20.89,-156.47,87.8,14.99
260,Eldorado,0,BR,1562904278,94,-24.52,-48.11,54.47,1.83
261,Geraldton,20,CA,1562903990,82,49.72,-86.95,59.0,5.19
262,Port Shepstone,0,ZA,1562904280,42,-30.74,30.45,55.61,6.58
263,Leopold,1,US,1562904282,100,38.1,-86.58,75.99,5.37
264,Labuhan,0,ID,1562904283,52,-2.54,115.51,89.61,1.57
265,Lima,90,PE,1562903998,93,-12.06,-77.04,60.8,10.29
266,Acapulco,75,MX,1562904285,79,16.86,-99.88,84.2,3.27
267,Khor,33,RU,1562904287,72,47.88,134.96,78.23,5.23
268,Fortuna,90,US,1562904288,100,40.6,-124.16,64.0,9.17
269,San Cristobal,100,HN,1562904289,83,14.68,-86.92,69.16,7.38
270,Davila,20,PH,1562904290,70,18.47,120.58,87.8,6.93
271,Batagay-Alyta,72,RU,1562904292,40,67.8,130.41,71.86,7.38
272,Cayenne,75,GF,1562904293,100,4.94,-52.33,73.4,3.8
273,Victoria,75,BN,1562904277,88,5.28,115.24,87.8,4.7
274,De-Kastri,100,RU,1562904295,85,51.48,140.77,60.97,4.59
275,Sambava,9,MG,1562904096,96,-14.27,50.17,63.33,2.86
276,Ende,10,ID,1562904287,76,-8.84,121.65,76.7,7.34
277,Marsaxlokk,40,MT,1562904299,88,35.84,14.54,77.0,5.82
278,Kupang,20,ID,1562904300,40,-10.16,123.6,86.0,13.87
279,Imeni Poliny Osipenko,100,RU,1562904301,78,52.42,136.49,64.7,5.86
280,Rizhao,88,CN,1562904029,51,35.43,119.46,84.53,6.24
281,Yumen,1,CN,1562904303,25,40.29,97.04,81.29,11.77
282,Melilla,0,EC,1562904305,88,-0.8,-80.23,71.6,13.87
283,Lagoa Vermelha,92,BR,1562904072,89,-28.21,-51.53,53.05,4.59
284,Sajanan,0,TN,1562904307,100,37.06,9.24,69.8,3.91
285,Dicabisagan,43,PH,1562904308,73,17.08,122.42,86.3,4.92
286,Nador,90,MA,1562904309,94,35.17,-2.93,71.6,4.7
287,Labytnangi,100,RU,1562904311,76,66.66,66.39,58.67,8.23
288,Pochutla,100,MX,1562904312,84,15.74,-96.47,80.01,1.5
289,Cedral,77,MX,1562904313,57,23.82,-100.72,69.41,17.85
290,Kanigiri,100,IN,1562904314,54,15.41,79.51,86.38,14.9
291,Ewa Beach,40,US,1562904316,58,21.32,-158.01,84.99,17.22
292,Black River,20,JM,1562904123,74,18.03,-77.85,84.2,1.12
293,Hasaki,75,JP,1562904318,100,35.73,140.83,71.01,10.29
294,Luderitz,0,NA,1562904319,84,-26.65,15.16,55.28,12.77
295,Flin Flon,64,CA,1562904320,87,54.77,-101.88,55.57,2.28
296,Carbonia,0,IT,1562904322,83,39.17,8.53,72.0,10.29
297,Hualmay,59,PE,1562904323,88,-11.1,-77.61,62.57,16.89
298,Tezu,100,IN,1562904324,98,27.93,96.16,71.18,4.5
299,Taoudenni,42,ML,1562904325,19,22.68,-3.98,96.65,8.77
300,Ternate,75,PH,1562904327,70,14.29,120.72,91.0,6.93
301,Te Anau,100,NZ,1562904328,82,-45.41,167.72,44.75,3.87
302,Macamic,90,CA,1562904329,93,48.75,-79.0,57.2,11.41
303,Dandong,2,CN,1562904330,67,40.12,124.37,78.05,11.65
304,Ayagoz,0,KZ,1562904331,59,47.96,80.43,64.82,21.74
305,Waingapu,65,ID,1562904333,57,-9.65,120.26,79.6,15.32
306,Verkhoturye,100,RU,1562904334,76,58.86,60.81,61.49,5.28
307,Padang,0,ID,1562904335,74,-0.92,100.36,82.08,3.94
308,Meulaboh,100,ID,1562904336,80,4.14,96.13,81.81,6.26
309,Garowe,100,SO,1562904249,62,8.41,48.48,76.11,22.5
310,Puerto Rondon,98,CO,1562904339,97,6.28,-71.1,71.19,2.01
311,Mahebourg,20,MU,1562904276,82,-20.41,57.7,70.0,8.05
312,Hornepayne,0,CA,1562904341,52,49.22,-84.78,57.44,2.26
313,Eyl,100,SO,1562904342,59,7.98,49.82,77.71,27.0
314,Mul,100,IN,1562904343,91,20.07,79.68,76.93,4.36
315,Pedra Branca,15,BR,1562904345,92,-5.46,-39.72,67.18,5.77
316,Kantunilkin,75,MX,1562904346,74,21.1,-87.49,84.2,13.87
317,Pekan,75,MY,1562904347,70,3.49,103.39,87.8,4.7
318,Salacgriva,0,LV,1562904348,86,57.75,24.36,48.0,3.0
319,Nome,1,US,1562904349,94,30.04,-94.42,84.99,3.36
320,Leh,47,IN,1562904351,46,34.16,77.58,44.1,3.67
321,Severobaykalsk,61,RU,1562904352,40,55.65,109.32,71.59,7.14
322,Huarmey,21,PE,1562904353,90,-10.07,-78.15,62.95,15.93
323,Albania,100,CO,1562904354,87,5.76,-73.91,66.35,3.83
324,Kenora,90,CA,1562904355,69,49.76,-94.48,73.4,14.99
325,Guines,90,FR,1562904357,88,48.08,-1.34,63.0,4.7
326,Touros,44,BR,1562904358,76,-5.2,-35.46,79.67,18.5
327,Maceio,75,BR,1562904359,94,-9.67,-35.74,71.6,2.24
328,Trelew,0,AR,1562904360,50,-43.25,-65.31,44.73,6.38
329,Dunhua,12,CN,1562904362,71,43.37,128.23,73.37,8.72
330,Portsmouth,99,GB,1562904363,82,50.8,-1.08,63.0,5.82
331,Sungairaya,100,ID,1562904364,77,0.7,108.9,82.48,13.53
332,Ovre Ardal,0,NO,1562904365,100,61.32,7.8,55.4,5.82
333,Kailua,40,US,1562904367,58,21.39,-157.74,84.99,17.22
334,Los Llanos de Aridane,10,ES,1562904368,68,28.66,-17.92,68.0,5.82
335,Shamgarh,25,IN,1562904369,70,24.18,75.63,81.29,17.36
336,Yoichi,90,JP,1562904370,82,43.19,140.77,64.4,19.46
337,Nyurba,0,RU,1562904372,40,63.29,118.35,83.33,5.88
338,Dashitou,12,CN,1562904373,71,43.3,128.5,73.37,8.72
339,Kavaratti,52,IN,1562904374,82,10.57,72.64,82.98,12.28
340,Butia,0,BR,1562904375,66,-21.88,-47.57,56.47,4.65
341,Santa Marta,20,CO,1562904377,70,11.24,-74.21,84.2,6.93
342,Hambantota,40,LK,1562904378,84,6.12,81.12,86.0,14.99
343,Antofagasta,20,CL,1562904379,81,-23.65,-70.4,53.6,8.05
344,Ratnagiri,100,IN,1562904380,84,16.98,73.3,81.92,16.02
345,Belz,0,UA,1562904381,93,50.38,24.01,51.8,2.24
346,Moose Factory,1,CA,1562904383,87,51.26,-80.61,46.4,3.36
347,Kodino,100,RU,1562904384,97,63.72,39.64,41.67,8.63
348,Port Said,0,EG,1562904385,29,25.34,30.55,80.73,7.76
349,Inhambane,0,MZ,1562904386,89,-23.87,35.38,57.37,3.83
350,Kajaani,0,FI,1562904388,66,64.22,27.73,50.0,10.29
351,Mangrol,75,IN,1562904389,70,25.33,76.51,86.0,3.36
352,Villa Rica,75,CO,1562904390,69,3.18,-76.46,75.2,10.29
353,Kruisfontein,21,ZA,1562904391,85,-34.0,24.73,53.55,9.64
354,Norman Wells,40,CA,1562904392,58,65.28,-126.83,57.2,16.11
355,Petropavlovka,42,RU,1562904394,60,50.61,105.32,68.91,6.46
356,Portland,90,US,1562904098,93,43.66,-70.25,68.0,4.7
357,Natchez,90,US,1562904396,94,31.56,-91.4,78.01,5.82
358,Ginda,90,IN,1562904397,100,30.69,78.49,77.0,6.93
359,Dawlatabad,0,AF,1562904398,12,36.41,64.91,91.64,4.16
360,Tigzirt,0,DZ,1562904400,40,36.57,4.2,72.98,2.91
361,Pytalovo,32,RU,1562904401,94,57.06,27.92,44.73,1.54
362,Sola,81,TZ,1562904402,69,-3.17,33.8,62.28,6.62
363,Mount Isa,66,AU,1562904401,17,-20.73,139.49,75.2,10.29
364,Jiayuguan,0,CN,1562904404,29,39.77,98.29,76.7,13.96
365,Hanmer Springs,100,NZ,1562904406,93,-42.52,172.83,40.36,5.19
366,Oriximina,1,BR,1562904407,75,-1.77,-55.87,78.84,4.61
367,Arlit,24,NE,1562904408,8,18.74,7.39,91.08,6.35
368,Paramirim,0,BR,1562904409,71,-13.44,-42.24,59.85,6.4
369,Tessalit,56,ML,1562904410,31,20.2,1.01,87.99,9.35
370,Merauke,0,ID,1562904412,71,-8.49,140.4,77.91,14.18
371,Buraydah,0,SA,1562904413,33,26.33,43.97,77.0,5.82
372,Matara,94,BI,1562904414,72,-3.48,29.48,48.91,1.74
373,Mackenzie,75,CA,1562904415,93,55.34,-123.09,57.2,9.17
374,Chippewa Falls,1,US,1562904204,87,44.94,-91.39,66.99,4.36
375,Pontian Kecil,40,MY,1562904418,74,1.48,103.39,89.01,9.17
376,Yarmouth,90,CA,1562904342,82,43.84,-66.12,63.0,8.05
